Producto,Presentación,Precio(ARS),Stock
Aperol,750 ml,7998.25,0
Amarula - Licor,750 ml,29670.00,1
Baileys - Licor,750 ml,N/D,1
Licor Sheridans,750 ml,35351.00,1
Cachaca Velho Barreiro,750 ml,6670.00,1
Campari,750 ml,8452.50,1
Cinzano Rosso,1 L,5497.00,1
Cynar,750 ml,7084.00,1
Fernet Branca,750 ml,12638.50,1
Fernet Branca,1 L,16560.00,1
Gancia Americano,1 L,4347.00,1
Gin Beefeater,700 ml,18285.00,1
Gin Beefeater,1 L,24150.00,1
Gin Bombay,750 ml,25645.00,1
Gin Gordons,700 ml,9890.00,1
Gin Heraclito,750 ml,11040.00,1
Gin Malaria,700 ml,29095.00,1
Gin Mil Demonios,700 ml,10465.00,1
Gin Tanqueray,750 ml,28290.00,1
Gin Tanqueray Sevilla,750 ml,30590.00,1
Gin Tanqueray Royale,750 ml,30590.00,1
Ron Malibu,750 ml,12075.00,1
Ron Bacardi Blanco,1 L,22080.00,1
Ron Bacardi Gold,1 L,22080.00,1
Ron Bacardi Blanco,750 ml,15985.00,1
Ron Bacardi Gold,750 ml,15985.00,1
Ron Havana Añejo Especial,750 ml,12305.00,1
Ron Havana Añejo 3 años,750 ml,12075.00,1
Tequila Jose Cuervo Dorado,750 ml,37599.25,1
Tequila Jose Cuervo Blanco,750 ml,37599.25,1
Vodka Absolut Regular,700 ml,16905.00,1
Vodka Absolut Apeach/Durazno,700 ml,18078.00,1
Vodka Absolut Grapefruit,700 ml,18078.00,1
Vodka Absolut Lima,700 ml,18078.00,1
Vodka Absolut Mandarina,700 ml,18078.00,1
Vodka Absolut Mango,700 ml,18078.00,1
Vodka Absolut Pera,700 ml,18078.00,1
Vodka Absolut Vainilla,700 ml,18078.00,1
Vodka Absolut Raspberry,700 ml,18078.00,1
Vodka Absolut Sandía,700 ml,18078.00,1
Vodka Skyy Regular,750 ml,6888.50,1
Vodka Grey Goose,750 ml,71300.00,1
Vodka Smirnoff,700 ml,6530.85,1
Vodka Smirnoff Raspberry,750 ml,7365.75,1
Vodka Smirnoff Manzana,750 ml,7365.75,1
Vodka Smirnoff Sandía,750 ml,7365.75,1
Vodka Smirnoff Citric Bitter,750 ml,7365.75,1

